;Model;Encoding;Parameters;Accuracy;Precision;Recall
0;LR;One-Hot;{'C': 0.01};0.5746753246753247;[0.55244755 0.25       0.48803828 0.66153846];[0.57246377 0.04545455 0.5177665  0.66409266]
1;KNN;One-Hot;{'n_neighbors': 9, 'weights': 'uniform'};0.5324675324675324;[0.49710983 0.         0.4301676  0.64705882];[0.62318841 0.         0.39086294 0.63706564]
2;RF;One-Hot;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300};0.5113636363636364;[0.49635036 0.25       0.4120603  0.5942029 ];[0.49275362 0.04545455 0.41624365 0.63320463]
3;XGBOOST;One-Hot;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};0.5746753246753247;[0.57462687 0.         0.4841629  0.651341  ];[0.55797101 0.         0.54314721 0.65637066]
4;LR;Label;{'C': 10};0.5698051948051948;[0.56521739 0.25       0.48292683 0.64312268];[0.56521739 0.04545455 0.50253807 0.66795367]
5;KNN;Label;{'n_neighbors': 7, 'weights': 'uniform'};0.5081168831168831;[0.51162791 0.11111111 0.41791045 0.58483755];[0.47826087 0.04545455 0.42639594 0.62548263]
6;RF;Label;{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300};0.5162337662337663;[0.49635036 0.25       0.42156863 0.60147601];[0.49275362 0.04545455 0.43654822 0.62934363]
7;XGBOOST;Label;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};0.5746753246753247;[0.57462687 0.         0.4841629  0.651341  ];[0.55797101 0.         0.54314721 0.65637066]
8;LR;Dummy;{'C': 0.01};0.5746753246753247;[0.55244755 0.25       0.48803828 0.66153846];[0.57246377 0.04545455 0.5177665  0.66409266]
9;KNN;Dummy;{'n_neighbors': 7, 'weights': 'uniform'};0.5081168831168831;[0.51162791 0.11111111 0.41791045 0.58483755];[0.47826087 0.04545455 0.42639594 0.62548263]
10;RF;Dummy;{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100};0.5097402597402597;[0.48091603 0.16666667 0.41826923 0.60147601];[0.45652174 0.04545455 0.44162437 0.62934363]
11;XGBOOST;Dummy;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};0.5746753246753247;[0.57462687 0.         0.4841629  0.651341  ];[0.55797101 0.         0.54314721 0.65637066]
