,Width Layer 1,Width Layer 2,MAE,MSE,R2
1,128,64,27.48260390944779,1392.6763713057173,0.881956475290426
7,64,128,27.531554848998784,1380.0209392189631,0.8830291522174011
0,128,128,27.617073171027005,1380.5346437956043,0.8829856105158719
16,32,32,27.622316053509714,1386.9800209256903,0.882439299075401
8,64,64,27.725760521888734,1412.2229166053437,0.8802997062444343
1,128,64,27.794368134681136,1410.9853122713068,0.8804046058325911
22,16,64,27.81288803473115,1408.8510471638426,0.880585506565267
3,128,16,27.958968297243118,1433.2071558858472,0.8785210779722412
9,64,32,28.035924126636235,1420.6295734906955,0.879587156343957
10,64,16,28.126988793611527,1442.5528125277938,0.8777289382666565
14,32,128,28.208483610749244,1431.4953148168747,0.8786661739598572
8,64,64,28.42092880990356,1437.5929015687757,0.8781493413006358
9,64,32,28.49193729877472,1451.008565474372,0.8770122269743182
19,32,4,28.5016823098436,1474.4128314387472,0.8750284767617079
32,8,8,28.508789703845977,1466.181923053874,0.8757261301845207
4,128,8,28.577037070989608,1475.5401613209985,0.8749329240578974
2,128,32,28.62024505645037,1442.734821939147,0.8777135111129479
15,32,64,28.712811873555182,1447.0250736669072,0.8773498685278718
11,64,8,28.933109357506037,1506.6315622975533,0.8722976107611045
21,16,128,28.943245265334845,1499.254789144352,0.872922867512729
30,8,32,28.948175925314427,1498.0377471121535,0.8730260242361145
30,8,32,28.96947263598442,1516.7574076393794,0.8714393421069931
35,4,128,29.050595898702742,1504.9473692452575,0.8724403632973581
15,32,64,29.078264070535077,1507.943270638422,0.8721864301026705
2,128,32,29.25257985532284,1516.4836641922805,0.8714625446557169
13,64,2,29.346533670797943,1498.2150336506186,0.8730109973940461
11,64,8,29.47380402095616,1549.8121118142406,0.8686376188427615
29,8,64,29.538682393357156,1552.2070333431236,0.868434624820247
28,8,128,29.942880036756396,1592.7527875087274,0.8649979586770364
32,8,8,30.0682010653615,1711.709432239028,0.8549151699395324
27,16,2,30.1570601272583,2118.5141689504253,0.8204343199880528
3,128,16,30.36567085623741,1637.9560299742525,0.8611665229042522
28,8,128,30.552954572439194,1623.8900174399262,0.8623587609089828
40,4,4,30.64861539825797,1713.4613845237018,0.8547666741173394
18,32,8,31.264404900968074,1747.555133042399,0.8518768812489965
21,16,128,31.29499590359628,1739.8724646,0.852528065745841
34,8,2,31.516549127101896,1785.4277075246794,0.8486667943445114
45,2,16,31.583683259487152,1776.6389319100451,0.8494117327040676
7,64,128,31.624133854433893,1807.6766240663285,0.8467809717775048
43,2,64,31.735064947009086,1787.4058666497772,0.8484991251857793
22,16,64,31.916824431344867,1969.0023430503427,0.8331069719254609
18,32,8,32.07237440526485,1899.802821611446,0.8389723370506009
38,4,16,32.52063245713711,1943.1418738411544,0.8352989104109498
5,128,4,32.53888983716257,1841.0182552359856,0.8439549285244388
16,32,32,32.67046539727598,1859.916372224833,0.8423531203903308
24,16,16,32.69170851256698,2110.143845609125,0.8211437902501493
34,8,2,32.81529973441735,1951.6006621655938,0.8345819418393836
17,32,16,32.90243502141908,2011.0019812152168,0.8295470742868873
0,128,128,32.916859126091005,2004.5355601746282,0.830095169413375
14,32,128,33.29104662746191,1900.8622037261362,0.8388825436130092
31,8,16,33.461784244179725,1969.7585696721903,0.8330428740074081
45,2,16,33.57553348166868,2000.8459154369127,0.8304079044311723
47,2,4,33.78948996782303,2025.8126477957296,0.828291719257906
33,8,4,33.83538327604532,2067.427909586498,0.8247644014368329
24,16,16,33.8991367097199,2209.765331048539,0.8126998534387231
6,128,2,33.94619211390614,2045.3460085815243,0.8266360677339147
27,16,2,33.96071279525757,2048.614553419173,0.8263590252269427
40,4,4,33.99279411315918,2063.303148070354,0.8251140170388379
5,128,4,34.01743942271918,2111.8417813279534,0.820999872882762
20,32,2,34.07472196852788,2148.03457479765,0.8179321645491718
35,4,128,34.13079537391663,2795.8269846240837,0.7630251517560072
25,16,8,34.21343636497855,2187.171737846213,0.8146148908676674
25,16,8,34.23180468559265,2064.8675809406523,0.8249814153992995
43,2,64,34.360255872160195,2225.9248939244203,0.8113301656929285
13,64,2,34.49765216458589,2138.6758180944094,0.8187254146185431
6,128,2,34.631210060566666,2157.91754647742,0.8170944819146979
17,32,16,34.65881160255522,2068.2489024759175,0.8246948139171297
36,4,64,34.72432131588459,2038.5921419520582,0.8272085268053737
47,2,4,34.72984573766589,2195.2464309468733,0.8139304782832445
29,8,64,34.813547516018154,2184.377427490414,0.8148517371661521
39,4,8,34.91123852968216,2169.8333519135085,0.8160844958889347
36,4,64,35.12595167249441,2319.6702166369737,0.8033842935965625
10,64,16,35.14304746359587,2512.5139818364314,0.7870388179128853
23,16,32,35.166942806243895,2159.33692121174,0.8169741754314582
37,4,32,35.25374210953712,2163.3954215233953,0.8166301761422525
23,16,32,35.34611204385757,2200.831995547435,0.8134570447228509
12,64,4,35.38021018594503,2365.706132595832,0.7994822802537768
37,4,32,35.40647306837141,2138.5019150486605,0.8187401546750995
19,32,4,36.29223569393158,2295.1186511849496,0.805465289140687
38,4,16,36.388009596746414,2418.8381218500417,0.7949788023348416
48,2,2,36.85584457144141,2661.049811208506,0.7744488916342477
12,64,4,36.971808290909976,2407.5742795552155,0.7959335278357901
26,16,4,37.11061894893646,2325.003665223208,0.802932229439413
33,8,4,37.13599836349487,2450.772283920657,0.7922720564410142
44,2,32,37.25137444997206,2517.6806763209547,0.7866008878663815
39,4,8,37.3237861905992,2797.349966711325,0.7628960634930398
31,8,16,38.41248524211347,2955.08300943627,0.7495265795913624
44,2,32,39.78005344450474,2654.2375640622595,0.7750262990498569
4,128,8,40.12839492797852,2745.4297215668894,0.7672968337415422
42,2,128,41.54815114468336,3281.450432354585,0.7218636122678499
20,32,2,41.6699296951294,2975.5808010840647,0.7477891827167392
41,4,2,77.54222047448158,15290.321993763922,-0.2960107166864554
46,2,8,78.97281953573227,15371.971591457435,-0.3029313527376183
41,4,2,78.97422552108765,15372.30122148097,-0.3029592922436155
26,16,4,78.97462118625641,15372.393987007832,-0.30296715506802174
42,2,128,78.97487799167634,15372.454196869223,-0.302972258467783
46,2,8,78.97724371433259,15373.00888126357,-0.30301927362676695
48,2,2,80.45026576682925,15771.980673704362,-0.3368362016724782
